start_cons, vowel, end_cons,silent_e,location_front, syllables
s,i,s,,2,2
cr,i,sp,,1,1
cr,i,s,,1,2
p,a,t,e,2,2
cr,i,s,,1,3
p,a,,,2,3
t,io,n,,3,3
cr,i,sp,,1,2
,e,d,,2,2
cr,i,sp,,1,2
,e,r,,2,2
cr,i,s,,1,2
p,i,n,,2,2
cr,i,sp,,1,2
,y,,,2,2
cr,i,ss,,1,2
cr,o,ss,,2,2
cr,i,s,,1,2
s,u,m,,2,2
#End of page 337's first column
#Page 1547
w,a,rt,,1,2
h,o,g,,2,2
w,a,r,,1,2
t,i,m,e,2,2
w,a,r,,1,2
w,i,ck,,2,2
w,a,r,,1,2
w,i,ck,,2,2
w,a,r,,1,2
,y,,,2,2
w,a,s,,1,1
w,a,,,1,3
s,a,,,2,3
b,i,,,3,3
w,a,,,1,2
s,a,tch,,2,2
r,a,ng,e,1,1
w,a,sh,,1,1
w,a,sh,,1,1
w,a,sh,,1,3
,a,,,2,3
bl,e,,,3,3
w,a,sh,,1,1
,a,nd,,1,1
w,ea,r,,1,1
w,a,sh,,1,3
b,a,,,2,3
s,i,n,,3,3
w,a,sh,,1,2
b,oa,rd,,2,2
w,a,sh,,1,2
b,ow,l,,2,2
w,a,sh,,1,2
cl,o,th,,2,2
w,a,sh,,1,2
d,a,y,,2,2
w,a,sh,,1,1
dr,a,w,,1,2
,i,ng,,2,2
w,a,sh,,1,2
,e,d,,2,2
,ou,t,,1,1
#End of page 1547's first column
#Page 287
c,o,m,,1,3
f,o,rt,,2,3
,e,r,,3,3
c,o,m,,1,2
f,o,rt,,2,2
st,a,,,1,2
t,io,n,,2,2
c,o,m,,1,2
f,o,rt,,2,2
w,o,,,1,2
m,a,n,,2,2
c,o,m,,1,2
fr,e,y,,2,2
c,o,m,,1,2
f,y,,,2,2
c,o,m,,1,2
,i,c,,2,2
c,o,m,,1,3
,i,,,2,3
c,a,l,,3,3
c,o,m,,1,2
,i,c,,2,2
b,oo,k,,1,1
c,o,,,1,2
m,i,c,e,2,2
c,o,m,,1,2
,i,c,,2,2
,o,p,,1,3
,e,r,,2,3
,a,,,3,3
c,o,m,,1,2
,i,c,,2,2
,o,p,,1,3
,e,r,,2,3
,a,,,3,3
c,o,m,,1,2
,i,c,,2,2
r,e,,,1,2
l,ie,f,,2,2
c,o,m,,1,2
,i,c,,2,2
str,i,p,,1,1
c,o,,,1,2
m,i,n,e,2,2
c,o,m,,1,2
,i,ng,,2,2
c,o,m,,1,2
,i,ng,,2,2
,ou,t,,1,1
c,o,m,,1,3
,i,n,,2,3
t,er,n,,3,3
c,o,,,1,4
m,i,,,2,4
t,i,,,3,4
,a,,,4,4
c,o,m,,1,3
,i,,,2,3
t,y,,,3,3
c,o,m,,1,3
,i,,,2,3
t,y,,,3,3
,o,f,,1,1
n,a,,,1,2
t,io,n,,2,2
c,o,m,,1,2
,i,x,,2,2
c,o,m,,1,2
m,a,,,2,2
c,o,m,,1,2
m,a,,,2,2
f,au,lt,,1,1
c,o,m,,1,2
m,a,nd,,2,2
#End of page 287's first page
#Page 236
c,e,r,,1,4
,e,,,2,4
br,o,,,3,4
s,i,d,e,4,4
c,e,r,,1,5
,e,,,2,5
br,o,,,3,5
sp,i,,,4,5
n,a,l,,5,5
c,e,r,,1,5
,e,,,2,5
br,o,,,3,5
sp,i,,,4,5
n,a,l,,5,5
fl,u,,,1,2
,i,d,,2,2
c,e,r,,1,5
,e,,,2,5
br,o,,,3,5
sp,i,,,4,5
n,a,l,,5,5
m,e,n,,1,4
,i,n,,2,4
g,i,,,3,4
t,i,s,,4,4
c,e,r,,1,6
,e,,,2,6
br,o,,,3,6
v,a,s,,4,6
c,u,,,5,6
l,a,r,,6,6
c,e,r,,1,3
,e,,,2,3
br,u,m,,3,3
c,e,r,e,1,2
cl,o,th,,2,2
c,e,r,,1,3
,e,,,2,3
m,e,nt,,3,3
c,e,r,,1,5
,e,,,2,5
m,o,,,3,5
n,i,,,4,5
,a,l,,5,5
c,e,r,,1,5
